"","case_order","uid","state","county","zip","lat","lng","area","time_zone","children","age","income","marital","gender","churn","outage_sec_perweek","email","contacts","yearly_equip_failure","techie","contract","port_modem","tablet","internet_service","phone","multiple","online_security","online_backup","device_protection","tech_support","streaming_tv","streaming_movies","paperless_billing","payment_method","tenure","monthly_charge","bandwidth_gb_year","item1","item2","item3","item4","item5","item6","item7","item8"
"1552",1727,"Other","PA","Other",16849,40.96044,-78.11433,"Suburban","America/New_York",2,61,5875.01,"Divorced","Male","Yes",11.36888104,12,1,1,"No","Month-to-month","No","Yes","DSL","No","No","Yes","Yes","No","No","Yes","No","Yes","Mailed Check",6.856207666,142.452604,1408.424309,4,4,4,2,3,3,5,5
"1553",1728,"Other","WI","Other",54017,45.1189,-92.52065,"Rural","America/Chicago",1,80,84805.71,"Separated","Female","No",14.21094097,11,1,1,"No","One year","Yes","Yes","Fiber Optic","Yes","No","No","No","Yes","No","Yes","No","No","Electronic Check",13.72354614,149.962093,1333.444788,3,2,4,3,5,2,2,5
"1554",1729,"Other","MA","Other",2462,42.32988,-71.25607,"Rural","America/New_York",1,75,14289.15,"Married","Male","No",10.14631572,9,1,0,"No","Two Year","Yes","No","Fiber Optic","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","Bank Transfer(automatic)",24.3036064,194.958118,2419.797484,5,4,5,3,3,4,4,6
"1555",1730,"Other","PA","Other",16650,40.11793,-78.28903,"Suburban","America/New_York",0,78,2488.36,"Never Married","Female","Yes",7.446156322,15,2,0,"No","Month-to-month","No","Yes","DSL","Yes","No","Yes","No","Yes","Yes","No","Yes","Yes","Credit Card (automatic)",6.027648047,154.991856,1135.519834,4,4,3,4,3,5,5,4
"1556",1731,"Other","MN","Other",55959,44.11011,-91.78444,"Urban","America/Chicago",1,75,10494.28,"Divorced","Female","Yes",10.7481104,14,1,1,"No","Month-to-month","No","Yes","None","Yes","No","No","Yes","No","Yes","No","Yes","No","Electronic Check",9.490754438,149.970715,980.0465426,5,4,4,3,3,5,4,4
"1557",1732,"Other","KS","Other",66085,38.79951,-94.6496,"Suburban","America/Chicago",0,58,15537.16,"Widowed","Male","Yes",11.6424418,5,1,0,"No","Two Year","No","No","DSL","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","Mailed Check",9.727109482,245.128318,1925.341061,3,2,3,5,3,4,4,5
"1558",1733,"Other","NC","Other",27882,35.94071,-78.11629,"Urban","America/New_York",0,46,40743.83,"Divorced","Female","No",12.81300692,12,0,0,"No","One year","No","No","Fiber Optic","Yes","Yes","No","No","No","Yes","Yes","No","No","Credit Card (automatic)",19.93726012,182.45383,1914.400241,4,4,5,2,5,2,3,3
"1559",1734,"Other","MA","Other",1760,42.28434,-71.34983,"Suburban","America/New_York",4,28,63963.83,"Never Married","Male","No",6.784802038,12,0,0,"No","Month-to-month","No","No","Fiber Optic","Yes","Yes","No","No","No","No","No","No","No","Bank Transfer(automatic)",1.662826246,144.960655,481.3363042,3,4,4,2,3,2,4,3
"1560",1735,"Other","WA","Other",98847,47.4405,-120.6467,"Urban","America/Los_Angeles",0,43,78249.99,"Married","Female","Yes",6.462473731,7,2,0,"No","Month-to-month","No","Yes","None","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","Credit Card (automatic)",8.406444381,220.161527,1321.712528,4,4,4,3,4,5,5,5
"1561",1736,"Other","MN","Other",55780,46.68308,-92.69275,"Urban","America/Chicago",1,66,43551.35,"Married","Female","No",9.082948983,10,1,0,"No","One year","No","No","DSL","Yes","Yes","No","No","Yes","No","No","Yes","No","Credit Card (automatic)",2.405574983,172.470522,901.2877149,5,6,4,4,5,4,5,4
"1562",1737,"Other","NJ","Other",8323,39.39557,-75.36605,"Suburban","America/New_York",1,84,48376.42,"Divorced","Male","Yes",8.55142407,10,1,0,"Yes","Month-to-month","No","Yes","DSL","Yes","Yes","No","Yes","No","Yes","Yes","Yes","No","Electronic Check",14.10031907,255.119794,2158.332479,5,4,4,3,6,4,4,3
"1563",1738,"Other","MO","Other",63532,39.76086,-92.57343,"Rural","America/Chicago",1,69,57730.91,"Never Married","Female","No",8.943037777,10,1,0,"No","Two Year","No","Yes","DSL","Yes","No","No","No","No","No","No","No","Yes","Bank Transfer(automatic)",4.186523762,92.455141,720.6019295,4,4,3,3,4,4,4,2
"1564",1739,"Other","KS","Other",67056,38.022,-97.52539,"Rural","America/Chicago",3,20,30861.42,"Married","Male","Yes",6.3246769,14,0,1,"No","Month-to-month","Yes","No","None","Yes","No","Yes","No","No","No","Yes","No","No","Electronic Check",14.93006551,107.48056,1727.703167,5,5,5,4,4,5,6,5
"1565",1740,"Other","MO","Marion",63463,39.84514,-91.76016,"Rural","America/Chicago",2,35,51510.02,"Widowed","Male","Yes",12.55061484,8,0,2,"No","One year","Yes","Yes","Fiber Optic","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Electronic Check",17.34018575,235.159141,2196.151925,4,5,4,3,3,3,5,4
"1566",1741,"Other","TN","Other",37338,35.42077,-85.21405,"Suburban","America/Chicago",1,88,7833.53,"Separated","Male","Yes",11.14280011,17,2,0,"No","Month-to-month","No","No","Fiber Optic","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","Electronic Check",7.858862202,252.637807,1207.144714,5,4,4,4,5,4,5,3
"1567",1742,"Other","ND","Other",58233,48.22614,-97.52573,"Suburban","America/Chicago",0,71,29709.19,"Widowed","Female","Yes",10.58657312,16,1,0,"No","Month-to-month","No","No","DSL","Yes","No","Yes","Yes","No","No","No","Yes","Yes","Credit Card (automatic)",8.482460246,152.455519,1364.133317,4,3,4,4,4,3,5,4
"1568",1743,"Other","FL","Other",33907,26.56432,-81.87137,"Rural","America/New_York",4,86,37041.5,"Married","Male","Yes",7.1113897,17,1,0,"No","One year","Yes","Yes","DSL","Yes","No","No","Yes","Yes","No","No","Yes","Yes","Credit Card (automatic)",7.644184483,162.460772,1461.63461,3,4,4,3,3,2,4,4
"1569",1744,"Other","PA","Other",16059,40.70403,-79.92844,"Rural","America/New_York",4,24,11638.79,"Widowed","Female","No",10.41978703,13,0,0,"Yes","Two Year","Yes","No","DSL","Yes","No","No","No","No","No","No","No","No","Bank Transfer(automatic)",13.82541752,92.455141,1750.284767,4,4,3,5,2,4,5,5
"1570",1745,"Other","MD","Other",21916,39.64124,-75.8617,"Suburban","America/New_York",3,76,8523.51,"Widowed","Female","No",11.72281518,13,1,0,"No","One year","Yes","No","Fiber Optic","Yes","No","No","No","Yes","No","No","Yes","No","Credit Card (automatic)",7.772523197,159.965008,884.3816817,5,4,4,3,5,4,3,4
"1571",1746,"Other","IA","Other",52627,40.66823,-91.34873,"Suburban","America/Chicago",5,33,108059.11,"Widowed","Male","No",11.31837362,18,0,1,"No","One year","No","No","Fiber Optic","Yes","Yes","No","Yes","Yes","No","Yes","No","No","Bank Transfer(automatic)",24.77634001,204.963371,2729.316361,4,4,4,3,3,3,4,2
"1572",1748,"Other","MI","Other",48178,42.44467,-83.66348,"Suburban","America/Detroit",1,76,73422.83,"Widowed","Female","Yes",10.25266403,9,1,0,"No","Month-to-month","No","No","None","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Electronic Check",6.403155881,175.02109,862.0866469,3,3,4,4,3,5,4,4
"1573",1749,"Other","KS","Other",67482,39.02683,-97.25974,"Suburban","America/Chicago",0,24,66702.94,"Separated","Male","Yes",12.9605554,12,1,0,"Yes","Two Year","Yes","No","None","Yes","Yes","No","Yes","Yes","No","Yes","Yes","No","Bank Transfer(automatic)",15.08846657,242.657291,2072.561109,3,4,3,4,1,3,4,4
"1574",1750,"Other","IL","Other",62473,39.02035,-88.56542,"Suburban","America/Chicago",1,77,37670.96,"Widowed","Female","Yes",7.789802026,10,1,0,"No","Month-to-month","No","Yes","DSL","Yes","No","Yes","No","No","Yes","Yes","Yes","No","Electronic Check",8.785452901,202.636202,1608.002659,5,6,4,1,5,5,5,4
"1575",1751,"Other","NE","Other",69219,42.70607,-101.10081,"Urban","America/Denver",1,62,79432.6,"Widowed","Male","Yes",9.985414526,13,1,0,"Yes","Month-to-month","Yes","No","None","No","No","No","No","No","Yes","Yes","Yes","No","Credit Card (automatic)",6.820250541,187.642236,1054.514104,1,2,3,5,4,2,2,1
"1576",1752,"Other","OH","Other",43821,40.13673,-82.00666,"Urban","America/New_York",0,21,21786.91,"Widowed","Female","Yes",9.777239043,8,1,0,"No","Month-to-month","No","Yes","Fiber Optic","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Mailed Check",3.319853958,290.160419,1150.574869,4,4,4,4,3,5,3,2
"1577",1753,"Other","OH","Wayne",44659,40.69502,-81.70286,"Rural","America/New_York",2,39,52189.94,"Married","Male","No",12.84477246,13,3,0,"Yes","Two Year","Yes","No","DSL","Yes","No","Yes","Yes","Yes","No","No","Yes","Yes","Electronic Check",13.84769517,164.978458,2137.666732,2,3,3,4,3,2,4,3
"1578",1754,"Other","NE","Other",68531,40.90141,-96.72324,"Suburban","America/Chicago",4,23,44610.48,"Married","Male","No",8.965640601,14,0,1,"Yes","Two Year","Yes","Yes","Fiber Optic","Yes","No","No","Yes","Yes","Yes","No","Yes","No","Electronic Check",16.15614223,194.969934,1956.469091,3,4,5,3,2,3,5,5
"1579",1755,"Other","WI","Other",54474,44.87483,-89.62093,"Urban","America/Chicago",3,87,53591.84,"Divorced","Female","Yes",7.587447184,9,1,1,"No","Month-to-month","Yes","No","DSL","Yes","Yes","No","Yes","No","No","Yes","Yes","No","Mailed Check",7.860641328,242.610632,1647.423104,4,4,4,3,5,3,3,2
"1580",1756,"Other","KY","Marion",40060,37.53801,-85.44181,"Suburban","America/New_York",0,27,43976.9,"Married","Male","No",12.57357797,19,1,0,"No","One year","No","No","Fiber Optic","Yes","No","No","No","No","Yes","No","No","No","Bank Transfer(automatic)",6.805071944,124.964303,715.1931007,3,4,4,5,2,3,3,5
"1581",1757,"Other","NM","Other",87034,34.78178,-107.56142,"Rural","America/Denver",0,60,19990.22,"Divorced","Female","Yes",4.843884364,14,2,1,"No","One year","Yes","No","None","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","Credit Card (automatic)",7.712199324,222.660939,1235.453213,3,4,3,2,4,4,4,3
"1582",1758,"Other","OR","Marion",97071,45.13592,-122.82659,"Rural","America/Los_Angeles",3,80,39181.25,"Separated","Female","Yes",10.38437058,16,0,1,"No","Month-to-month","Yes","No","None","Yes","Yes","No","No","No","No","Yes","No","Yes","Bank Transfer(automatic)",5.402712746,137.468388,700.0279564,4,5,5,2,3,4,3,4
"1583",1759,"Other","WV","Other",25810,37.60236,-81.34453,"Urban","America/New_York",1,56,25777.88,"Divorced","Male","Yes",14.67675595,13,2,0,"No","Two Year","Yes","No","Fiber Optic","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","Mailed Check",2.066037377,232.641455,769.7818684,3,3,3,4,4,2,3,4
"1584",1760,"Other","CT","Other",6473,41.38069,-72.85601,"Suburban","America/New_York",2,20,59418.66,"Never Married","Male","Yes",9.8699522,8,0,0,"No","Month-to-month","Yes","Yes","DSL","Yes","No","Yes","No","Yes","Yes","No","Yes","No","Electronic Check",3.752354376,154.991856,1283.103476,3,4,4,6,2,4,4,3
"1585",1761,"Other","NY","Monroe",14559,43.18805,-77.81798,"Urban","America/New_York",1,39,38306.27,"Separated","Male","Yes",16.75470959,10,0,0,"No","Month-to-month","Yes","No","DSL","Yes","Yes","No","Yes","Yes","No","No","Yes","Yes","Electronic Check",11.32652677,194.966286,1897.050575,2,2,2,4,2,3,2,3
"1586",1762,"Other","OH","Montgomery",45322,39.89786,-84.32866,"Urban","America/New_York",3,30,34393.76,"Never Married","Male","No",8.763640466,8,2,0,"No","One year","No","No","Fiber Optic","No","No","Yes","Yes","No","No","Yes","Yes","Yes","Electronic Check",17.96501147,232.622804,2299.047664,5,4,5,1,4,4,3,5
"1587",1763,"Other","TX","Other",76209,33.23157,-97.10988,"Suburban","America/Chicago",3,47,37526.82,"Divorced","Male","Yes",12.1859369,14,1,0,"No","One year","No","No","None","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Credit Card (automatic)",1.051188042,257.684139,1018.848617,3,3,4,5,5,2,2,2
"1588",1764,"Other","MS","Other",38901,33.7616,-89.80424,"Rural","America/Chicago",6,35,3050.98,"Separated","Female","No",8.242312444,10,2,0,"No","Two Year","No","No","Fiber Optic","Yes","No","Yes","Yes","No","No","Yes","No","Yes","Electronic Check",13.63916478,162.452604,1712.040252,4,4,3,2,3,2,2,2
"1589",1765,"Other","VA","Other",24325,36.80531,-80.59683,"Rural","America/New_York",2,66,6284.19,"Married","Nonbinary","No",9.217002771,13,0,0,"No","Month-to-month","No","Yes","DSL","Yes","No","No","No","No","No","No","No","Yes","Electronic Check",16.64092048,92.455141,1777.880577,3,3,3,4,4,3,3,4
"1590",1766,"Other","MD","Washington",21783,39.65159,-77.55503,"Rural","America/New_York",2,76,53247.58,"Separated","Female","Yes",9.75859429,12,0,1,"No","Month-to-month","No","No","DSL","Yes","Yes","Yes","Yes","No","No","No","Yes","No","Electronic Check",1.042724425,184.961033,871.6644442,3,2,4,3,4,2,2,4
"1591",1767,"Other","NY","Other",12184,42.4205,-73.65421,"Suburban","America/New_York",2,70,25019.9,"Separated","Male","Yes",11.34236064,12,0,0,"No","Month-to-month","Yes","No","Fiber Optic","Yes","Yes","Yes","No","No","No","Yes","No","Yes","Electronic Check",17.1001258,172.462354,1782.747566,3,3,5,3,5,3,3,4
"1592",1768,"Other","PA","Montgomery",19440,40.28646,-75.2895,"Suburban","America/New_York",0,44,16301.48,"Divorced","Female","No",9.415068375,12,1,1,"No","Month-to-month","No","Yes","Fiber Optic","Yes","No","No","No","No","No","No","No","Yes","Bank Transfer(automatic)",2.779431223,112.455141,242.9947554,5,4,4,5,3,5,4,6
"1593",1769,"Other","TX","Other",76870,31.63824,-98.52981,"Urban","America/Chicago",3,73,12134.83,"Married","Female","No",10.65731963,10,0,1,"No","Month-to-month","No","No","Fiber Optic","Yes","No","Yes","Yes","Yes","No","No","No","Yes","Mailed Check",15.12166154,149.99153,1505.903299,4,4,3,2,5,3,1,3
"1594",1770,"Other","IL","Other",61370,41.20504,-89.03162,"Rural","America/Chicago",0,72,32396.94,"Never Married","Female","No",7.011648779,13,1,0,"No","Month-to-month","No","Yes","Fiber Optic","Yes","No","Yes","No","No","Yes","No","Yes","Yes","Mailed Check",2.661325529,162.468917,380.7222437,3,4,3,4,3,4,3,3
"1595",1772,"Other","NC","Other",28643,36.52963,-81.53446,"Suburban","America/New_York",0,58,18406.73,"Separated","Female","Yes",9.299310376,10,2,0,"No","Month-to-month","Yes","No","None","Yes","No","No","Yes","No","No","Yes","No","Yes","Credit Card (automatic)",7.217041327,127.458638,850.5053759,2,1,3,3,4,3,3,3
"1596",1773,"Other","CO","Other",81220,38.30911,-107.48984,"Suburban","America/Denver",1,68,7655.2,"Widowed","Male","Yes",12.84944852,6,1,0,"No","Month-to-month","No","No","Fiber Optic","Yes","Yes","No","No","No","No","Yes","Yes","Yes","Mailed Check",2.693860703,240.114868,764.3624669,4,5,4,5,2,3,4,4
"1597",1774,"Other","CA","Other",93461,35.64703,-120.27329,"Suburban","America/Los_Angeles",8,19,32102.68,"Never Married","Female","No",5.430446293,6,1,0,"No","One year","No","No","None","Yes","Yes","No","No","Yes","Yes","Yes","No","Yes","Bank Transfer(automatic)",6.441555523,162.500489,1228.537824,3,3,3,4,3,3,3,2
"1598",1775,"Other","AL","Other",36608,30.68171,-88.29444,"Rural","America/Chicago",1,79,49545.55,"Divorced","Male","No",11.15775194,7,0,1,"No","One year","No","Yes","Fiber Optic","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","Mailed Check",10.2452503,184.967019,1197.086571,3,3,3,5,4,4,3,5
"1599",1777,"Other","TX","Other",78566,26.14669,-97.40331,"Suburban","America/Chicago",3,19,27690.11,"Never Married","Male","Yes",9.910027332,13,1,0,"No","One year","Yes","No","DSL","Yes","Yes","No","No","No","Yes","Yes","Yes","No","Electronic Check",21.61213506,232.62403,2954.525101,4,4,4,3,3,3,4,3
"1600",1778,"Other","MS","Other",39737,33.67003,-89.32741,"Suburban","America/Chicago",2,46,27219.87,"Married","Female","No",13.29565706,17,0,0,"No","One year","No","No","None","Yes","No","No","Yes","No","Yes","No","Yes","Yes","Credit Card (automatic)",4.576705489,149.970715,703.2651223,3,3,3,3,5,5,2,2
"1601",1779,"Other","VT","Washington",5673,44.19361,-72.84185,"Rural","America/New_York",0,63,21739.61,"Separated","Nonbinary","Yes",14.05990229,11,1,0,"No","Month-to-month","No","No","DSL","Yes","Yes","No","Yes","Yes","No","Yes","Yes","No","Credit Card (automatic)",8.661116617,255.133571,1745.431051,3,3,1,3,4,3,3,2
"1602",1780,"Other","WA","Other",98311,47.63019,-122.63698,"Rural","America/Los_Angeles",0,85,32951.46,"Married","Male","Yes",17.60288873,9,0,1,"Yes","Month-to-month","Yes","Yes","DSL","No","No","Yes","No","Yes","No","Yes","Yes","No","Mailed Check",23.68987753,202.649979,2900.101871,4,3,3,5,2,4,5,4
"1603",1781,"Other","FL","Other",32683,29.29396,-82.78074,"Urban","America/New_York",1,64,19832.1,"Married","Female","Yes",15.36169948,6,1,0,"No","One year","Yes","No","Fiber Optic","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Credit Card (automatic)",10.73057042,287.642733,1572.393016,3,3,3,2,4,3,5,3
"1604",1782,"Other","MN","Other",55328,45.03575,-93.81317,"Rural","America/Chicago",1,21,8979.6,"Married","Female","No",10.89022868,9,1,0,"Yes","One year","Yes","No","Fiber Optic","Yes","Yes","No","No","No","No","No","No","Yes","Electronic Check",9.46447702,144.960655,968.8971697,4,3,2,1,6,3,5,4
"1605",1783,"Other","MN","Other",55405,44.97024,-93.3048,"Rural","America/Chicago",7,18,47618.81,"Divorced","Female","No",12.65695134,7,1,0,"No","Two Year","No","Yes","DSL","Yes","No","Yes","Yes","No","Yes","No","No","Yes","Mailed Check",4.106981469,129.977753,1239.519501,5,5,5,5,1,5,5,5
"1606",1784,"Other","TX","Other",76227,33.27392,-96.99052,"Suburban","America/Chicago",4,83,40031.03,"Widowed","Female","No",14.74975124,10,2,0,"No","One year","No","Yes","None","Yes","No","Yes","No","No","No","No","Yes","Yes","Electronic Check",2.851017432,117.483475,479.0156739,2,3,3,3,3,2,4,4
"1607",1787,"Other","VA","Other",23897,36.83172,-77.28377,"Rural","America/New_York",1,24,22354.1,"Divorced","Female","Yes",9.386659049,13,0,1,"No","One year","Yes","No","None","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Bank Transfer(automatic)",7.351090778,232.670689,1332.641107,3,2,3,4,2,4,5,3
"1608",1788,"Other","MS","Monroe",38821,33.97596,-88.43758,"Suburban","America/Chicago",1,88,12146.64,"Widowed","Female","No",8.244134358,13,0,1,"No","Two Year","No","No","Fiber Optic","No","No","No","No","No","Yes","No","No","Yes","Bank Transfer(automatic)",5.867164261,124.964303,386.8447822,4,4,4,2,3,4,3,4
"1609",1789,"Other","OH","Other",43720,39.79451,-81.87297,"Urban","America/New_York",1,40,3730.38,"Married","Female","Yes",10.73059843,18,1,0,"No","Month-to-month","Yes","No","DSL","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Electronic Check",2.095488213,247.664655,1338.247732,3,3,2,5,3,4,3,3
"1610",1790,"Other","GA","Other",30184,34.25786,-84.72396,"Suburban","America/New_York",0,26,56143.59,"Widowed","Female","Yes",7.415363166,14,0,0,"No","Month-to-month","Yes","No","Fiber Optic","Yes","No","No","No","No","Yes","No","Yes","Yes","Electronic Check",3.312263064,159.951231,509.6727126,3,4,4,5,2,4,4,4
"1611",1791,"Other","SD","Other",57042,43.97971,-97.15072,"Suburban","America/Chicago",1,70,22812,"Married","Female","Yes",8.735591454,14,2,1,"No","Month-to-month","No","Yes","None","No","Yes","No","No","No","No","Yes","Yes","Yes","Credit Card (automatic)",6.766267697,207.638588,1044.435554,4,5,5,4,4,3,5,4
"1612",1793,"Other","TX","Other",79347,34.17746,-102.78205,"Suburban","America/Chicago",0,75,18189.38,"Separated","Male","Yes",10.0345016,14,0,2,"No","Month-to-month","Yes","No","DSL","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Bank Transfer(automatic)",1.796607335,207.475448,971.697137,2,3,3,4,3,3,4,2
"1613",1794,"Other","CA","Orange",92823,33.92942,-117.80683,"Rural","America/Los_Angeles",0,67,61039.69,"Married","Male","Yes",8.247672688,15,1,1,"No","Month-to-month","No","No","Fiber Optic","Yes","No","No","Yes","No","No","Yes","Yes","Yes","Electronic Check",1.921647847,230.105118,695.6222319,4,5,4,4,5,3,4,4
"1614",1795,"Other","IN","Other",47992,40.32231,-87.05291,"Rural","America/Indiana/Indianapolis",2,29,60671.21,"Married","Male","No",13.82901227,12,0,1,"No","Two Year","No","No","DSL","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Credit Card (automatic)",8.248755691,177.48762,1716.011284,3,2,3,3,3,3,3,4
"1615",1796,"Other","FL","Other",32757,28.77345,-81.63818,"Suburban","America/New_York",4,26,21393.98,"Never Married","Male","No",13.62442766,13,1,0,"No","Two Year","No","No","DSL","Yes","No","Yes","Yes","No","Yes","Yes","No","No","Bank Transfer(automatic)",21.77701838,154.961766,2811.648182,4,4,4,5,3,3,5,3
"1616",1797,"Other","MA","Other",2357,42.05772,-71.08075,"Urban","America/New_York",3,38,31369.76,"Widowed","Female","Yes",12.48448983,9,0,1,"No","Two Year","No","No","DSL","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","Mailed Check",14.42671843,235.137219,2363.604752,3,2,2,4,4,3,1,2
"1617",1798,"Other","NC","Other",27701,35.99888,-78.89863,"Suburban","America/New_York",8,20,37741.16,"Never Married","Male","No",9.961483356,10,1,0,"No","Two Year","No","No","DSL","Yes","No","No","No","No","No","No","No","No","Electronic Check",16.11472911,92.455141,2156.405261,1,1,2,3,4,1,4,3
"1618",1799,"Other","MN","Other",55329,45.3092,-94.57192,"Suburban","America/Chicago",2,60,27353.22,"Divorced","Female","No",12.65398405,9,0,0,"No","One year","No","No","DSL","Yes","Yes","No","No","No","Yes","Yes","No","Yes","Credit Card (automatic)",22.89696344,162.45383,2586.074672,3,3,2,4,4,3,4,2
"1619",1800,"Other","VA","Other",23063,37.71652,-78.00165,"Rural","America/New_York",1,65,20872.03,"Separated","Male","Yes",6.672058888,14,2,0,"No","Month-to-month","Yes","Yes","Fiber Optic","Yes","No","No","No","No","No","Yes","Yes","Yes","Bank Transfer(automatic)",9.273178876,207.609354,1241.342647,3,4,5,4,3,3,5,5
"1620",1801,"Other","CA","Other",96071,40.66364,-121.45879,"Rural","America/Los_Angeles",1,36,87308.01,"Married","Nonbinary","No",9.246170832,7,1,0,"No","Month-to-month","Yes","No","Fiber Optic","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","Mailed Check",8.154668093,182.497044,1062.905651,4,3,4,4,4,4,5,3
"1621",1802,"Other","MI","Other",49670,45.16041,-85.65146,"Rural","America/Detroit",3,79,37198.61,"Divorced","Male","Yes",8.294166484,12,0,0,"Yes","Month-to-month","No","No","DSL","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","Electronic Check",7.775144828,242.610632,1713.700682,3,3,4,3,5,2,3,2
"1622",1804,"Other","PA","Other",17841,40.72492,-77.35292,"Rural","America/New_York",3,29,48675.51,"Widowed","Female","Yes",4.586984142,14,0,0,"No","One year","No","No","None","Yes","Yes","Yes","No","No","No","No","Yes","Yes","Mailed Check",10.25226518,149.988989,1303.670531,3,3,3,4,4,2,4,4
"1623",1805,"Other","MS","Other",39206,32.3724,-90.17247,"Rural","America/Chicago",4,87,53420.34,"Divorced","Female","No",8.120857113,9,0,1,"No","Month-to-month","No","No","Fiber Optic","Yes","Yes","Yes","No","No","No","No","No","Yes","Electronic Check",11.89492044,147.478341,1119.209685,4,3,4,3,4,4,4,4
"1624",1806,"Other","FL","Other",32564,30.72607,-86.78242,"Suburban","America/Chicago",1,34,26175.68,"Separated","Male","Yes",11.19592754,12,0,0,"No","Month-to-month","No","Yes","DSL","Yes","No","No","No","Yes","Yes","No","Yes","No","Mailed Check",8.210220142,152.47417,1496.482536,5,5,4,5,3,5,4,5
"1625",1807,"Other","SC","Other",29152,33.97496,-80.4718,"Urban","America/New_York",0,22,84232.11,"Married","Female","No",10.2831545,6,1,1,"No","Month-to-month","Yes","No","Fiber Optic","Yes","Yes","No","Yes","No","Yes","No","No","Yes","Electronic Check",8.884543585,179.965581,985.6286855,5,5,3,4,3,5,5,5
"1626",1808,"Other","ME","Other",4496,44.65839,-68.9119,"Suburban","America/New_York",5,20,23660.7,"Never Married","Female","Yes",11.64845286,11,1,1,"No","One year","No","No","Fiber Optic","Yes","No","No","No","Yes","No","Yes","Yes","Yes","Bank Transfer(automatic)",6.577676916,220.132293,1329.24842,4,3,2,1,3,4,4,3
"1627",1809,"Other","TX","Other",78355,27.19012,-98.20251,"Rural","America/Chicago",0,33,45404.63,"Married","Male","No",11.77757836,21,1,1,"No","One year","No","No","Fiber Optic","Yes","Yes","No","No","Yes","Yes","No","Yes","No","Electronic Check",2.92969581,204.979684,694.7582953,5,3,4,6,2,4,4,5
"1628",1810,"Other","OK","Other",74054,36.2753,-96.3475,"Urban","America/Chicago",1,75,5418.19,"Widowed","Female","Yes",10.72904959,7,0,1,"No","One year","Yes","No","None","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Bank Transfer(automatic)",8.013365588,255.166453,1313.686109,2,4,3,3,4,2,2,3
"1629",1811,"Other","NY","Other",13493,43.43417,-75.89572,"Suburban","America/New_York",3,86,25428.86,"Separated","Male","No",12.20196178,9,0,0,"No","One year","Yes","Yes","None","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","Credit Card (automatic)",1.84841935,150.020764,529.9370637,4,4,3,3,2,4,3,4
"1630",1812,"Other","OR","Other",97426,43.89989,-123.0367,"Suburban","America/Los_Angeles",0,68,21087.24,"Never Married","Male","Yes",9.024293001,10,0,1,"No","One year","No","No","Fiber Optic","Yes","Yes","No","No","No","No","No","Yes","No","Electronic Check",1.884992328,179.947583,404.9361415,2,1,3,2,5,2,2,4
"1631",1813,"Other","IN","Marion",46236,39.89167,-85.96847,"Rural","America/Indiana/Indianapolis",1,60,36174.84,"Married","Female","No",13.0338523,12,2,0,"No","One year","No","Yes","None","Yes","No","No","No","No","Yes","Yes","No","Yes","Bank Transfer(automatic)",9.783296825,117.472036,995.3392925,5,5,5,3,3,3,5,3
"1632",1816,"Other","OK","Other",73004,35.14801,-97.84629,"Urban","America/Chicago",0,27,45429.68,"Married","Male","No",9.929214278,9,1,0,"No","Month-to-month","No","No","Fiber Optic","Yes","Yes","No","No","Yes","No","No","No","Yes","Mailed Check",15.12645563,157.483594,1549.802896,4,5,3,4,4,3,4,3
"1633",1817,"Other","CA","Other",94060,37.22338,-122.33714,"Rural","America/Los_Angeles",1,25,12234.89,"Married","Female","No",9.116878941,13,1,1,"No","Two Year","No","Yes","Fiber Optic","Yes","No","No","Yes","No","No","No","No","No","Mailed Check",7.179893502,134.950905,790.6280344,3,3,3,4,5,4,4,4
"1634",1818,"Other","SC","Other",29431,33.27823,-79.8807,"Suburban","America/New_York",1,44,46705.86,"Widowed","Male","No",11.10048066,9,2,0,"No","Month-to-month","Yes","No","None","Yes","No","No","Yes","No","No","No","No","No","Bank Transfer(automatic)",9.984220981,102.474625,1040.400476,2,3,3,3,2,3,2,4
